nct_id,number
NCT00066807,29
NCT00067002,16
NCT00067470,1
NCT00067990,32
NCT00068107,9
NCT00068237,5
NCT00068250,1
NCT00068380,5
NCT00068393,10
NCT00068406,3
NCT00068419,60
NCT00068445,51
NCT00068588,4
NCT00068601,122
NCT00068692,90
NCT00068822,3
NCT00069095,2763
NCT00069108,432
NCT00069121,692
NCT00069238,13
NCT00069264,32
NCT00069277,21
NCT00069576,458
NCT00069641,2
NCT00069784,1212
NCT00069823,9
NCT00069953,2
NCT00070018,4
NCT00070109,50
NCT00070291,3
NCT00070317,13
NCT00070499,294
NCT00070564,872
NCT00070707,21
NCT00070941,22
NCT00071006,12
NCT00071032,17
NCT00071058,1
NCT00071110,4
NCT00071396,3
NCT00071487,109
NCT00071513,17
NCT00071760,15
NCT00071799,168
NCT00071812,76
NCT00071981,169
NCT00072176,2
NCT00072189,1
NCT00072280,7
NCT00072293,3
NCT00072384,9
NCT00072410,3
NCT00072475,97
NCT00073008,125
NCT00073021,42
NCT00073307,640
NCT00073528,1258
NCT00073749,76
NCT00073918,4
NCT00073983,1
NCT00074152,88
NCT00074282,84
NCT00074412,166
NCT00074490,10
NCT00074581,470
NCT00074711,30
NCT00074958,1
NCT00074984,11
NCT00075023,4
NCT00075218,361
NCT00075270,570
NCT00075400,3
NCT00075478,2
NCT00075504,16
NCT00075582,85
NCT00075725,1233
NCT00075764,694
NCT00075816,25
NCT00075881,43
NCT00075946,545
NCT00076011,52
NCT00076024,190
NCT00076102,5
NCT00076336,108
NCT00076570,16
NCT00076752,3
NCT00076804,129
NCT00076999,79
NCT00077064,6
NCT00077207,30
NCT00077376,22
NCT00077610,156
NCT00077623,111
NCT00077636,136
NCT00077649,55
NCT00077675,20
NCT00077766,64
NCT00077857,405
NCT00077974,104
NCT00078312,177
NCT00078325,51
NCT00078338,139
NCT00078377,36
NCT00078767,2
NCT00078806,19
NCT00078819,115
NCT00078949,15
NCT00079040,2
NCT00079183,7
NCT00079274,854
NCT00079339,50
NCT00079391,1
NCT00079417,9
NCT00079677,34
NCT00079781,11
NCT00079937,101
NCT00080119,446
NCT00080223,76
NCT00080288,68
NCT00080301,16
NCT00080483,4
NCT00080899,1
NCT00080938,24
NCT00081159,7
NCT00081263,39
NCT00081289,42
NCT00081458,13
NCT00081497,5
NCT00081653,84
NCT00081731,16
NCT00081770,1504
NCT00082173,21
NCT00082355,30
NCT00082368,1
NCT00082381,81
NCT00082407,83
NCT00082433,1191
NCT00082628,117
NCT00082758,32
NCT00082810,31
NCT00082888,1
NCT00083226,42
NCT00083616,31
NCT00083759,167
NCT00083889,750
NCT00083915,87
NCT00084084,2
NCT00084136,285
NCT00084266,864
NCT00084318,35
NCT00084487,1
NCT00084617,9
NCT00084656,76
NCT00084682,1
NCT00084747,13
NCT00084799,1
NCT00084838,13
NCT00084864,1
NCT00084929,69
NCT00085098,3
NCT00085202,42
NCT00085423,2
NCT00085540,2
NCT00085566,14
NCT00085631,22
NCT00085644,128
NCT00085709,103
NCT00085735,131
NCT00085917,7
NCT00086047,14
NCT00086190,18
NCT00086281,12
NCT00086307,11
NCT00086346,171
NCT00086385,6
NCT00086411,47
NCT00086502,46
NCT00086515,391
NCT00086580,459
NCT00086619,32
NCT00086684,163
NCT00086996,64
NCT00087126,2
NCT00087139,124
NCT00087152,6
NCT00087178,24
NCT00087438,4
NCT00087490,527
NCT00087516,512
NCT00087529,99
NCT00087555,44
NCT00087568,32
NCT00087594,20
NCT00087607,244
NCT00087646,326
NCT00087685,14
NCT00087698,36
NCT00088153,49
NCT00088166,114
NCT00088205,60
NCT00088374,2
NCT00088413,51
NCT00088452,2
NCT00088465,561
NCT00088530,104
NCT00088595,28
NCT00088829,22
NCT00088881,25
NCT00088907,294
NCT00089076,10
NCT00089141,42
NCT00089284,1
NCT00089297,38
NCT00089479,620
NCT00089505,53
NCT00089544,1
NCT00089583,45
NCT00089609,4
NCT00089635,43
NCT00089648,41
NCT00089661,47
NCT00089674,556
NCT00089778,1
NCT00089791,1330
NCT00089843,18
NCT00089895,77
NCT00089973,50
NCT00089986,49
