NCT_Number,PMID
NCT00560079,[18681754]
NCT00560404,[26965694]
NCT00560755,[22772170]
NCT00560794,[22592608]
NCT00560833,[30712391]
NCT00561314,[22512844]
NCT00561353,[22024518]
NCT00561405,[22018267]
NCT00561470,"[22264850, 26706237, 28807738, 32168980, 34789774]"
NCT00561678,[28593326]
NCT00561899,[20574538]
NCT00561990,[28961832]
NCT00562159,[25685162]
NCT00562276,[21651392]
NCT00562471,[18346996]
NCT00562484,[27595443]
NCT00562627,[20736233]
NCT00562770,[18039954]
NCT00562861,[33434956]
NCT00562900,[18520226]
NCT00562939,[20504165]
NCT00562952,[23810874]
NCT00563303,"[21427372, 22777514]"
NCT00563342,[27473868]
NCT00563953,[34307126]
NCT00564486,[21353105]
NCT00564512,[22337714]
NCT00564889,[22504925]
NCT00564915,[18456557]
NCT00564967,[21483704]
NCT00565266,"[20075384, 20979471, 24084072]"
NCT00565318,[22792314]
NCT00565331,[25393622]
NCT00565409,"[23332236, 23666316, 27209012, 29338762, 31257453, 31277720]"
NCT00565422,[18312057]
NCT00565708,"[22168568, 37364220]"
NCT00565812,[23144445]
NCT00565955,[20522464]
NCT00566228,[30978434]
NCT00566345,"[21329971, 22172502, 22267715]"
NCT00566657,"[21621834, 21696982]"
NCT00566774,"[22080794, 25944633]"
NCT00566839,[22056369]
NCT00566917,[21561348]
NCT00566956,[18343810]
NCT00567190,"[22149875, 23602601, 23969513, 24129974, 24685829, 25693012, 27964843, 28057664, 29112701, 32564260, 32779037, 36410207, 36463547, 38514306]"
NCT00567307,[21205325]
NCT00567554,"[22257523, 22276820, 38837894]"
NCT00567567,[31454045]
NCT00567710,[23059159]
NCT00567736,[22087222]
NCT00567905,[21649457]
NCT00568126,[25954318]
NCT00568334,[26762528]
NCT00568542,[21505058]
NCT00568737,[18786266]
NCT00568841,[23308140]
NCT00568893,[19457240]
NCT00568958,[25742208]
NCT00569387,[23229886]
NCT00569478,"[21682864, 23599170]"
NCT00569946,"[25283266, 28378918]"
NCT00570089,[21565740]
NCT00570102,"[21067382, 28687275]"
NCT00570440,[24785854]
NCT00570739,"[22836068, 22913890]"
NCT00570778,[20978028]
NCT00570882,[26347107]
NCT00571155,[21909835]
NCT00571337,[39134391]
NCT00571428,[19808130]
NCT00571649,"[23388003, 24460645, 24970782, 28617144, 31975354, 35389229]"
NCT00572039,[21746979]
NCT00572455,[21851167]
NCT00572559,[18719064]
NCT00572897,[24963042]
NCT00573131,[27890801]
NCT00573144,[32747497]
NCT00573157,[22325903]
NCT00573261,[21346609]
NCT00573326,[25007944]
NCT00573391,[22674807]
NCT00573417,[19689921]
NCT00573781,"[21901116, 24587337, 25527657, 25874636, 30256894]"
NCT00573794,[29380251]
NCT00573950,[23886346]
NCT00574067,[31787108]
NCT00574119,"[25164945, 25515841]"
NCT00574132,"[24450891, 29854934, 29854935, 30412493]"
NCT00574275,"[22264850, 29366960, 29856121]"
NCT00574288,"[26308596, 27307294, 32470437, 37022569]"
NCT00574548,[24606865]
NCT00574652,[22129253]
NCT00574847,"[23410543, 23695483, 24163385, 24631512, 25323254]"
NCT00574873,"[35235189, 37553873]"
NCT00575055,"[24450891, 29854934, 29854935, 30412493]"
NCT00575523,[19018977]
NCT00575588,"[23638466, 24397584, 25414932]"
NCT00576303,[26965694]
NCT00576329,[18779478]
NCT00576732,[24350813]
NCT00576758,[22438256]
NCT00576940,"[18571296, 21074910]"
NCT00577135,"[21366472, 23250981, 25543972, 26041600, 27514750]"
NCT00577278,[37301631]
NCT00577473,[21385195]
NCT00577642,[24958808]
NCT00577824,"[22913891, 24843486, 24843529]"
NCT00577863,[19656016]
NCT00578227,[22188832]
NCT00578305,[25355728]
NCT00578786,[19909879]
NCT00580112,[24692579]
NCT00580801,[24886541]
NCT00581087,[22280813]
NCT00581607,[24177203]
NCT00582010,[24533048]
NCT00582114,[24398888]
NCT00582777,[28830083]
NCT00582907,"[23070486, 25147819]"
NCT00583362,[24187095]
NCT00583674,[23108953]
NCT00586131,[19846545]
NCT00586157,[20492851]
NCT00586339,[24091311]
NCT00586586,[26647901]
NCT00586651,[24903629]
NCT00586664,[22991696]
NCT00586820,[27547429]
NCT00587990,"[24565698, 36472802]"
NCT00588393,[18952896]
NCT00588523,[28472509]
NCT00588731,[29619533]
NCT00589056,[31436839]
NCT00589121,[36995690]
NCT00589498,[20705223]
NCT00589693,[23148736]
NCT00589875,[26843484]
NCT00589901,[21874317]
NCT00589914,"[23446197, 23493643, 24754314]"
NCT00589927,[21392640]
NCT00590174,[20231231]
NCT00590187,[23075701]
NCT00590577,"[21481243, 24754314]"
NCT00590837,[32943750]
NCT00590863,"[22075098, 22687487, 24163386, 26803397, 28187400]"
NCT00591695,[32833762]
NCT00591773,[30175930]
NCT00592124,[23383037]
NCT00592384,[25607727]
NCT00592553,[37236246]
NCT00592839,[22183214]
NCT00592930,[21663423]
NCT00593047,[20220185]
NCT00593138,[22154896]
NCT00593450,"[21526923, 24652518, 24875610, 27099955, 31513262, 31999297, 32027349, 32191267, 35428655]"
NCT00593502,"[20815736, 21106443]"
NCT00593606,[21831297]
NCT00593619,[26973791]
NCT00593697,"[29852043, 39186271]"
NCT00593710,[25465809]
NCT00594165,"[22326237, 25444083, 25997442]"
NCT00594204,[21635992]
NCT00594269,[22408266]
NCT00594386,[23208198]
NCT00594516,"[20119464, 26428249]"
NCT00594529,[27752787]
NCT00594568,"[23883379, 26064192, 26120369]"
NCT00594880,"[23105144, 29505600, 34049356]"
NCT00595517,[23530709]
NCT00595712,[32839849]
NCT00595946,[24716835]
NCT00596154,[25568347]
NCT00596206,[23401601]
NCT00596596,[24732867]
NCT00596817,[27780334]
NCT00596830,[38468440]
NCT00596895,[18471323]
NCT00597077,[18565859]
NCT00597220,[23265344]
NCT00597311,[27903247]
NCT00597324,[24583305]
NCT00597584,"[23343061, 23343062]"
NCT00597623,[24817417]
NCT00597753,"[23343061, 23343062]"
NCT00597896,[22152405]
NCT00598130,[23137020]
NCT00598156,[23788755]
NCT00598208,[18684735]
NCT00598234,[18519002]
NCT00598273,"[23343061, 23343062]"
NCT00598442,"[23343061, 23343062]"
NCT00598481,"[18218852, 19179314, 19652199, 27129325]"
NCT00599196,"[23508526, 25444083, 25997442]"
NCT00599222,[22241923]
NCT00599326,[22911183]
NCT00599781,"[19179314, 19652199]"
NCT00599807,"[31152541, 32542307, 38772577]"
NCT00599898,[23168756]
NCT00599911,[31087825]
NCT00599937,[20018913]
NCT00600028,[22986377]
NCT00600340,"[23312888, 25268370, 27501767]"
NCT00600483,[20716738]
NCT00600548,[21200420]
NCT00600561,[18678242]
NCT00600587,[25981169]
NCT00600600,[24633206]
NCT00600756,[23953270]
NCT00600886,"[26437217, 27039081]"
NCT00600925,[20825316]
NCT00600938,"[24385534, 25345697]"
NCT00601042,[21914165]
NCT00601159,"[24824628, 30082489]"
NCT00601627,[35285484]
NCT00601900,"[31276981, 34616010]"
NCT00602160,"[25155085, 33310179]"
NCT00602355,[30447565]
NCT00602537,[26892848]
NCT00602771,"[22001391, 23996484]"
NCT00603239,[22913891]
NCT00603278,"[23062392, 26704701, 27881132, 28755137]"
NCT00603291,"[23661689, 27206567, 27389084, 27659698, 30574343]"
NCT00603304,[21954478]
NCT00603343,[18502028]
NCT00603382,"[22342538, 26704701, 27881132]"
NCT00603512,"[26275429, 28143815, 32816215, 33127856, 34870800, 36526796, 36600185, 36601090, 36931693, 37919780, 38696034, 38958913, 39192350, 39657989]"
NCT00603746,"[21828231, 27881132]"
NCT00603876,[25670361]
NCT00603902,"[23661689, 27116910, 27206567, 27659698, 30574343]"
NCT00603954,"[25652604, 25779951]"
NCT00604006,"[30057766, 33902478]"
NCT00604019,[19851126]
NCT00604097,[20215934]
NCT00604110,[18489775]
NCT00604175,[24723284]
NCT00604201,[29958797]
NCT00604214,"[22616830, 25928214]"
NCT00604357,[20840760]
NCT00604383,[18708615]
NCT00604435,[23693018]
NCT00604500,[21398104]
NCT00604630,[19834012]
NCT00604864,[18556683]
NCT00605072,[19922631]
NCT00605098,[24614377]
NCT00605215,"[26000222, 39143826]"
NCT00605267,"[22265697, 22972694]"
NCT00605280,[21896838]
NCT00605293,[26965694]
NCT00605787,[19267708]
NCT00606021,[23006447]
NCT00606476,[25669746]
NCT00606580,[23388004]
NCT00606827,[18702961]
NCT00607243,[20600480]
NCT00607295,[21422866]
NCT00607373,"[20227758, 27578134]"
NCT00607386,[25902842]
NCT00607412,[26515712]
NCT00607581,[22983583]
NCT00607672,[26494370]
NCT00607854,[25361987]
NCT00607919,"[24206099, 25019647, 27845858]"
NCT00607997,[25403830]
NCT00608023,[22495074]
NCT00608075,[35585125]
NCT00608881,"[27913695, 30850442, 35747889]"
NCT00608985,[28735928]
NCT00609180,"[21976613, 22307571, 27440140, 33024925]"
NCT00609401,[24063860]
NCT00609622,[33207247]
NCT00609804,[29110854]
NCT00610168,[20704493]
NCT00610259,"[21457679, 24733990]"
NCT00610363,[21372003]
NCT00610506,[18615172]
NCT00610753,[25250660]
NCT00610857,[31646098]
NCT00610909,[19158975]
NCT00611026,[35881009]
NCT00611130,[23575810]
NCT00611208,[25795722]
NCT00611247,[22052619]
NCT00611286,"[22438530, 23315904, 24161321, 24332420, 25718355, 26342472, 26643501, 27572001, 28605779, 29275371]"
NCT00611455,[21859685]
NCT00611481,[22316445]
NCT00611663,[28784280]
NCT00611780,[21070998]
NCT00611806,[23467813]
NCT00611884,[21396703]
NCT00612144,[25422771]
NCT00612157,[19920270]
NCT00612430,[19920819]
NCT00613197,[18398081]
NCT00613275,"[26438146, 27432417]"
NCT00613457,"[20154213, 21719599, 24415536, 26853647, 26888258, 37021527]"
NCT00613600,[24490058]
NCT00613795,[20522788]
NCT00613899,[24491372]
NCT00614003,[18447916]
NCT00614198,[20406576]
NCT00614445,"[25884778, 29342163]"
NCT00614471,[25190434]
NCT00614614,[25152325]
NCT00614965,[27492015]
NCT00615017,[23001587]
NCT00615030,[20850959]
NCT00615199,[24480677]
NCT00615251,"[23465817, 30396554]"
NCT00615433,"[28807142, 34751928]"
NCT00615459,[20920365]
NCT00615615,[34033237]
NCT00615810,[25658097]
NCT00615966,[20634785]
NCT00616148,[31292226]
NCT00616161,[18534276]
NCT00616421,[20943209]
NCT00616798,[24696094]
NCT00616811,[26067186]
NCT00616928,[21606531]
NCT00616980,[23192920]
NCT00617097,[19935022]
NCT00617461,[24102928]
NCT00617513,[24732867]
NCT00617591,[24030918]
NCT00617643,[21047828]
NCT00617656,"[25164908, 25806231, 30472259]"
NCT00617890,[27362300]
NCT00617942,[24885187]
NCT00618072,"[25259787, 26789348]"
NCT00618423,[31743533]
NCT00618436,"[19898966, 22342434]"
NCT00618839,[21475006]
NCT00619112,[24670608]
NCT00619138,[26081010]
NCT00619268,[21664867]
NCT00619489,[26893500]
NCT00619892,[26379759]
NCT00619905,[18534016]
NCT00619918,[24862623]
NCT00619957,[22750403]
NCT00620022,[21498063]
NCT00620217,[31288177]
NCT00620464,[22540269]
NCT00620542,[21446892]
NCT00620724,[28333939]
NCT00620750,[22985676]
NCT00621153,[21831438]
NCT00621192,[22955430]
NCT00621322,[24142232]
NCT00621400,[20724537]
NCT00621478,[24756515]
NCT00621504,"[21482570, 21482566, 25487791, 26702925, 30597021, 34922058]"
NCT00621608,[21385365]
NCT00621764,"[27686833, 27815383, 30230947]"
NCT00621777,"[24399553, 27046320, 28414583]"
NCT00621790,[25265449]
NCT00621868,"[25411597, 27181576, 31606880]"
NCT00621907,[23260628]
NCT00621946,[37952772]
NCT00621959,[20350147]
NCT00621998,[20441726]
NCT00622570,[18759980]
NCT00622648,[22204723]
NCT00622687,[18634152]
NCT00622700,[25192851]
NCT00622726,"[21323540, 25103848]"
NCT00622843,[20795819]
NCT00622869,[23769088]
NCT00622908,[19393842]
NCT00623090,[20199680]
NCT00623194,[27600385]
NCT00623337,"[20478070, 23578528, 23667161, 27297006, 27297010]"
NCT00623610,"[18560516, 29679103]"
NCT00623623,"[23473396, 24916050, 25161043, 25691510, 26304934, 26783237, 28525886, 39689189]"
NCT00623740,"[26916176, 28384828, 31980445, 33359303, 36417367, 37653218, 39448816]"
NCT00623766,[22456429]
NCT00623779,[21172721]
NCT00623844,[20624316]
NCT00623857,"[22131908, 22870238]"
NCT00624195,[24352352]
NCT00624286,"[20211002, 22206353]"
NCT00624338,[24951103]
NCT00624351,[23313811]
NCT00624442,[21856481]
NCT00624754,[25835160]
NCT00624819,[27736293]
NCT00624858,[24171147]
NCT00624923,[27438317]
NCT00625209,"[23525934, 27154719, 29490185, 38310918]"
NCT00625391,"[21143878, 23118932]"
NCT00625404,"[22784040, 25503265, 25539648]"
NCT00625443,[24802775]
NCT00625612,[22682898]
NCT00625846,[20851682]
NCT00625898,[31235775]
NCT00626106,[23414585]
NCT00626288,[25533646]
NCT00626392,[19331435]
NCT00626548,[22583636]
NCT00626665,[20837499]
NCT00626717,[26194634]
NCT00626925,"[26891181, 34049101]"
NCT00627146,"[20225393, 37884063]"
NCT00627523,[26501737]
NCT00627588,[24412048]
NCT00627640,"[27942720, 38070039]"
NCT00627692,[19751247]
NCT00627887,[38232249]
NCT00627926,[21696307]
NCT00627952,[29268712]
NCT00627965,"[21962063, 23270443]"
NCT00628095,[22382341]
NCT00628251,"[26961146, 32073956]"
NCT00628277,[21778256]
NCT00628290,[33995015]
NCT00628342,[25478944]
NCT00628355,[26628263]
NCT00628498,"[29767845, 32950693]"
NCT00628589,"[21200077, 29163985]"
NCT00628719,[20147716]
NCT00628771,[31023259]
NCT00628862,[22085439]
NCT00629031,[19663597]
NCT00629239,[20466530]
NCT00629616,"[30305115, 32001832]"
NCT00629811,[19362676]
NCT00629824,[20102281]
NCT00629889,[24311644]
NCT00630331,[20868284]
NCT00630513,"[21501482, 23631512]"
NCT00630747,[22929184]
NCT00630864,[32107748]
NCT00630929,[28222627]
NCT00631371,[27238653]
NCT00631449,[21402547]
NCT00631514,[18953082]
NCT00631657,[32351205]
NCT00631813,[24732867]
NCT00632229,[23842022]
NCT00632775,[25751673]
NCT00632866,[25027140]
NCT00633022,[22974804]
NCT00633139,[33332761]
NCT00633217,[31299468]
NCT00633282,"[26252777, 27629750, 33397443]"
NCT00633399,[27835715]
NCT00633581,[22264303]
NCT00633880,"[25350981, 27538531, 28494751]"
NCT00633893,"[23216615, 26446706]"
NCT00633984,[23870811]
NCT00634036,[26610598]
NCT00634049,"[26969258, 27169478, 27185799, 37185921]"
NCT00634309,"[25326006, 29431256, 37366061]"
NCT00634400,"[24874200, 25326006, 29431256, 37366061]"
NCT00634712,"[25326006, 29431256, 31370950, 32387067, 33301080, 36632831, 37366061]"
NCT00634725,[27139057]
NCT00634803,[27574837]
NCT00634946,[29424676]
NCT00635128,[20448468]
NCT00635141,[20435858]
NCT00635154,"[19181644, 26945843]"
NCT00635219,"[27780334, 30580082, 31087825]"
NCT00635427,"[25801797, 26043810, 27839979]"
NCT00635466,"[23426337, 32490343]"
NCT00635882,[23490226]
NCT00635921,[18251623]
NCT00636168,"[25840693, 27717298, 28162999, 34663559, 39378385]"
NCT00636636,[27037091]
NCT00637052,[22139909]
NCT00637169,[23644995]
NCT00637195,[21734063]
NCT00637273,"[20580422, 23039868, 23522121, 23748507, 23748506, 32306296]"
NCT00637377,"[25107900, 25439429, 31826853, 36932356]"
NCT00637546,[19921145]
NCT00637910,"[23883922, 26209642, 26416458]"
NCT00637936,[22840231]
NCT00637975,[23577077]
NCT00638248,[22738918]
NCT00638326,"[21806387, 21902692]"
NCT00638365,[24019259]
NCT00638677,[23571819]
NCT00638690,"[21612468, 23142059, 24099659, 26609008, 26685010, 29272162]"
NCT00638781,[22738918]
NCT00638833,[19092106]
NCT00639015,[19017409]
NCT00639210,"[35136160, 38561578]"
NCT00639236,[19245725]
NCT00639327,[26109630]
NCT00639574,[22427403]
NCT00639678,[19587338]
NCT00639743,"[24716681, 28335835]"
NCT00639756,[30409184]
NCT00639938,[18657709]
NCT00640042,[27782769]
NCT00640094,[28645475]
NCT00640185,[22795204]
NCT00640263,"[26603917, 27895016, 28469697, 30814028, 31633158, 31994250, 32067040, 32228542, 32991450, 34425825]"
NCT00640367,[23387822]
NCT00640562,"[24681810, 25356632]"
NCT00640601,[23281876]
NCT00640887,"[25406657, 26482301]"
NCT00640978,[20630061]
NCT00641056,"[20609969, 23522121, 23748506, 24731672, 32306296]"
NCT00641147,[29802852]
NCT00641186,[18852348]
NCT00641472,[24229823]
NCT00641537,"[32447743, 33969750, 34370275]"
NCT00641745,"[32370778, 33098548]"
NCT00642148,[22090363]
NCT00642278,[22548646]
NCT00642395,[19884643]
NCT00642408,"[18996870, 20375185, 21367950]"
NCT00642460,"[23252525, 30824645, 32912276]"
NCT00642655,[18635429]
NCT00642707,[20377413]
NCT00642811,[20194878]
NCT00642850,[26965694]
NCT00642902,"[24613349, 31617269]"
NCT00642980,[30322724]
NCT00643188,"[29385358, 33640355]"
NCT00643201,"[23808982, 26627879, 33890242]"
NCT00643383,[22458917]
NCT00643448,[21619383]
NCT00643565,"[28738258, 32179448]"
NCT00643747,"[18441371, 25938638]"
NCT00643760,[23186035]
NCT00643851,"[26894924, 27461213]"
NCT00643877,[33214446]
NCT00644046,[25398129]
NCT00644059,[21995388]
NCT00644085,[19131401]
NCT00644228,"[22689675, 28586789, 39321347]"
NCT00644358,"[22106941, 23216998]"
NCT00644371,[27771496]
NCT00644410,[25926562]
NCT00644605,"[22354598, 31206240]"
NCT00644969,[22697191]
NCT00645398,[26694975]
NCT00645788,[26688732]
NCT00646321,[20713475]
NCT00646607,[27573560]
NCT00647049,[27476790]
NCT00647101,[20181282]
NCT00647166,[31056661]
NCT00647244,"[21970555, 22479327]"
NCT00647270,[27338778]
NCT00647348,"[24655729, 28600189, 34875458, 35031587]"
NCT00647491,[27338778]
NCT00647530,[37947140]
NCT00647998,[22528284]
NCT00648739,[31443741]
NCT00649025,[23865726]
NCT00649298,"[25529309, 30723975, 31299919]"
NCT00649389,"[20678674, 22799613, 23110471]"
NCT00649922,[27338778]
NCT00650078,"[22562974, 26535146]"
NCT00650091,"[22607134, 24836309, 25890798, 26111071]"
NCT00650143,[26709136]
NCT00650468,[18936569]
NCT00650507,[25074698]
NCT00650793,[21155708]
NCT00650858,"[21940973, 22382155]"
NCT00651066,[24465443]
NCT00651118,[22418065]
NCT00651235,[23321647]
NCT00651456,"[26719230, 30739911, 30967649, 31279641, 37393757]"
NCT00651651,"[22329608, 24524222]"
NCT00652002,"[22329608, 24524222, 27039236]"
NCT00652132,[29924955]
NCT00652145,[24793028]
NCT00652171,[18615166]
NCT00652184,[19469706]
NCT00652327,[22621316]
NCT00652470,"[27107887, 28357554, 29987375]"
NCT00652587,[19408012]
NCT00652613,[26561342]
NCT00652769,[25660225]
NCT00652938,[21856349]
NCT00653081,"[19755551, 20863369]"
NCT00654069,[21231862]
NCT00654121,[19898832]
NCT00654212,[20026830]
NCT00654368,"[23979914, 26361879]"
NCT00654407,[18702965]
NCT00654511,[21461792]
NCT00654576,"[20819983, 25064681]"
NCT00654628,[21699369]
NCT00654706,[25583364]
NCT00654719,[21475692]
NCT00655343,"[19695955, 28583289]"
NCT00655369,[25024650]
NCT00655473,"[21908036, 23942908, 24135322, 24458953]"
NCT00655499,[23041588]
NCT00655525,"[25204316, 27281699]"
NCT00655538,"[21128879, 22345126]"
NCT00655668,[23731832]
NCT00655863,[22237690]
NCT00655876,[28687830]
NCT00655928,[26503312]
NCT00656136,[22452896]
NCT00656175,[29746485]
NCT00656747,"[21760724, 26082623]"
NCT00656864,[36120427]
NCT00656890,[23461895]
NCT00657163,[21216670]
NCT00657397,"[22741944, 25209306, 25393311, 27048152]"
NCT00657410,[38231017]
NCT00657566,[25992746]
NCT00657605,[19889232]
NCT00657657,[23732904]
NCT00657709,"[23324563, 31110098]"
NCT00657878,[29462248]
NCT00657943,"[26916684, 26916685, 30027438]"
NCT00658047,[21724705]
NCT00658229,[22458865]
NCT00658320,[23866828]
NCT00658359,[30234149]
NCT00658437,[25324973]
NCT00658515,"[22345126, 23126252, 25583994, 26022813, 27418594, 28073769, 29071331]"
NCT00658528,[21114792]
NCT00658567,[36277907]
NCT00658580,[28975084]
NCT00658775,[21114792]
NCT00659477,[24563017]
NCT00659542,"[21710480, 27864616]"
NCT00659789,[24525316]
NCT00660010,[21860633]
NCT00660023,[26965694]
NCT00660062,[26529118]
NCT00660179,"[23984728, 25457902, 26493786, 27671974, 29280064, 29447737, 29501590, 31109190, 35819570, 35917059]"
NCT00660335,[24906040]
NCT00660452,"[25056584, 26465232]"
NCT00660491,[19130989]
NCT00660504,[27061082]
NCT00660517,[20674829]
NCT00660647,"[23434570, 25249397, 25359291, 25359432, 26489704, 28611080, 29142030, 33386898, 35874466]"
NCT00660660,[25478944]
NCT00660842,[24582486]
NCT00660894,"[24942277, 30425843]"
NCT00660907,[27461213]
NCT00661167,[24716542]
NCT00661206,[25616646]
NCT00661362,[27402391]
NCT00661505,[26965694]
NCT00661557,[22704725]
NCT00661609,[23329066]
NCT00661661,"[24692527, 26818974, 28143815, 29417430, 29435359, 31777783, 32816215, 33057725, 33127856, 34870800, 36526796, 36600185, 36601090, 36931693, 37453736, 38696034, 38854417, 38883150]"
NCT00661713,[22260988]
NCT00661726,[21700776]
NCT00662038,"[26835133, 28898890, 30866942, 37391667]"
NCT00662142,[20130094]
NCT00662480,"[20507582, 28859943, 29374048, 32158272, 36927295]"
NCT00662506,[33842889]
NCT00662714,"[23809507, 24620855]"
NCT00662909,"[23850394, 24246044]"
NCT00662948,[34459702]
NCT00663052,"[25994179, 30324088]"
NCT00663260,[27461213]
NCT00663403,[20890189]
NCT00663702,[27229685]
NCT00663897,[20957498]
NCT00664001,"[19273551, 23270443]"
NCT00664014,[30180806]
NCT00664326,[22959186]
NCT00664456,[20964826]
NCT00664560,"[21524238, 26235613, 26313454]"
NCT00664625,[24733462]
NCT00664716,[25405351]
NCT00665119,[21333087]
NCT00665223,"[22071279, 36811812]"
NCT00665431,"[21524238, 26235613, 26313454]"
NCT00665639,[23959319]
NCT00665847,"[24589294, 26566161, 27060341]"
NCT00665925,"[20879879, 23378467]"
NCT00666185,[23959319]
NCT00666224,[19815268]
NCT00666263,"[38978354, 39574508]"
NCT00666367,"[22250141, 35236342]"
NCT00666744,[18570643]
NCT00666757,[25080392]
NCT00666887,[28564557]
NCT00666978,"[21266057, 28921760, 34599228, 34791718]"
NCT00667069,"[25592642, 33002438]"
NCT00667251,[28750133]
NCT00667368,[26611782]
NCT00667394,[21242491]
NCT00667745,[23911057]
NCT00667758,[26460564]
NCT00667810,[27176461]
NCT00667823,"[29501590, 35819570]"
NCT00667992,[28065396]
NCT00668330,[20964867]
NCT00668343,[20488825]
NCT00668421,[25563429]
NCT00668434,[25988461]
NCT00668447,[19474141]
NCT00668564,[21586746]
NCT00668707,[33681747]
NCT00668759,[21232669]
NCT00668837,[21155708]
NCT00668863,[22537162]
NCT00668941,[30355512]
NCT00669331,[25246664]
NCT00669409,[22004765]
NCT00669643,"[28222139, 28704363, 29867930, 38697216]"
NCT00669669,[25105369]
NCT00669695,"[25221387, 26567858]"
NCT00669955,[21345487]
NCT00669981,[22893167]
NCT00670007,"[26026936, 27916480, 28848909]"
NCT00670254,"[27695824, 36345013]"
NCT00670358,[34564694]
NCT00670449,"[24475777, 28129749]"
NCT00670501,"[19250060, 31213783]"
NCT00670774,[24990476]
NCT00670839,[26257021]
NCT00671086,[19284927]
NCT00671099,"[23289548, 26335087]"
NCT00671138,[21408161]
NCT00671736,[32888826]
NCT00671853,[25007003]
NCT00671970,[20716591]
NCT00672074,[25331030]
NCT00672282,[26681677]
NCT00672334,"[21816077, 23610561, 29366580, 34028701]"
NCT00672373,[20868638]
NCT00672477,"[27573565, 33788162, 36798078, 36875317, 37881233]"
NCT00672620,[23252878]
NCT00673049,[25395283]
NCT00673231,"[22431673, 23529568, 23911013, 24243529, 26894924, 27461213, 33368935, 33372185]"
NCT00673309,"[20395554, 20701787, 22606232]"
NCT00673335,[22076253]
NCT00673452,"[20843911, 21668963, 22753629]"
NCT00673608,[27537786]
NCT00673920,[24498318]
NCT00673946,[25138332]
NCT00674362,[24431394]
NCT00674479,[22422826]
NCT00674583,"[23307281, 29724511]"
NCT00674596,[19211665]
NCT00674635,[24286335]
NCT00674700,"[22994348, 39035788]"
NCT00674973,[24827134]
NCT00675129,"[25245352, 27015720, 29093819, 39470788]"
NCT00675584,[22111718]
NCT00675688,[27676118]
NCT00675714,"[19734776, 20881067, 22606232, 22895351, 27433905, 28240622]"
NCT00676143,[27176461]
NCT00676234,[23033926]
NCT00676338,"[23522121, 23748507, 23748506, 32306296]"
NCT00676585,[27038920]
NCT00676715,"[22047971, 32645640, 32671831, 34902760]"
NCT00676897,"[21827677, 25855898]"
NCT00676936,"[31517821, 32856209]"
NCT00677118,"[22154591, 28235726, 35183221]"
NCT00677339,[23967066]
NCT00677365,[21471106]
NCT00677443,"[23062232, 25424120]"
NCT00677794,[27451294]
NCT00677807,[21349928]
NCT00677833,[25881046]
NCT00678119,[25901286]
NCT00678210,"[22924949, 23855761, 24289224, 24595567, 25951857, 32816215, 36777695, 38696034]"
NCT00678275,"[26735993, 30709437]"
NCT00678301,"[22112189, 23291945, 24633268, 26020101]"
NCT00678327,"[27332902, 30220622]"
NCT00678379,[21422302]
NCT00678392,"[22056247, 23598172, 25577718, 27238653, 29719414, 30739258, 31072748, 33947608]"
NCT00678405,"[21599896, 25358424, 26685116, 27044249]"
NCT00678418,"[21529928, 22945623]"
NCT00678431,[30480082]
NCT00678535,"[31195354, 32380454]"
NCT00678561,[26267721]
NCT00678587,[22913681]
NCT00678821,"[23478192, 25698651]"
NCT00679159,[21606542]
NCT00679263,[23094708]
NCT00679341,[24887458]
NCT00679367,[23144200]
NCT00679588,[24374549]
NCT00679627,"[24591834, 27846868]"
NCT00679731,"[22029980, 28993007]"
NCT00679783,"[21862407, 26961146]"
NCT00679913,[24368638]
NCT00679939,"[27052635, 27536422]"
NCT00680017,[23891363]
NCT00680056,[20580216]
NCT00680069,[25291578]
NCT00680121,[25908323]
NCT00680342,[22797645]
NCT00680407,[31536511]
NCT00680433,[22858219]
NCT00680602,"[19578654, 22841131, 23948637]"
NCT00680706,[31060559]
NCT00680745,"[21672123, 23529567, 26894924, 27461213, 33368935]"
NCT00680901,[27737436]
NCT00680953,[32839843]
NCT00680979,[25240070]
NCT00680992,"[23867211, 30231890, 31704134, 33038190, 33482769]"
NCT00681109,[23599118]
NCT00681226,"[23385271, 24397981]"
NCT00681408,[25195547]
NCT00681538,[37745913]
NCT00681564,[21324167]
NCT00681811,[33332761]
NCT00682006,[22322126]
NCT00682240,[22956609]
NCT00682305,[26367236]
NCT00682500,[25855884]
NCT00682539,[29080915]
NCT00682565,[25453536]
NCT00682578,[26917051]
NCT00682643,[23806459]
NCT00682669,[22544892]
NCT00682890,[21733508]
NCT00683059,[23706985]
NCT00683111,[22108447]
NCT00683345,[22253903]
NCT00683358,[26190488]
NCT00683592,"[21527122, 22106941, 23216998, 24127687, 24940525, 27980409, 29608461]"
NCT00683618,[28836458]
NCT00683722,"[23172272, 32758293, 33964910]"
NCT00683852,[21939613]
NCT00683878,"[26894924, 27461213, 33368935]"
NCT00684021,"[23129008, 25136078, 25406300, 29208679]"
NCT00684060,"[22084195, 25136078, 28490433]"
NCT00684307,[19690349]
NCT00684632,[25378647]
NCT00684918,[25285531]
NCT00684983,[33852121]
NCT00685217,[25532604]
NCT00685230,[19439743]
NCT00685360,[22670901]
NCT00685373,[21859692]
NCT00685542,[23474153]
NCT00685776,"[19781408, 21082868, 25670362]"
